epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.1801,0.91001,2.41367,1.04298,0.89444,0.90761,0.94916,0.75935,0.6982,1.05626,0.84763,0.000471522,0.000471522,0.000471522
2,15.859,0.65124,0.79077,0.90053,0.99799,1,0.99484,0.90362,0.42128,0.54603,0.83324,0.000938471,0.000938471,0.000938471
3,22.2236,0.53011,0.60758,0.87249,0.99662,1,0.99497,0.92645,0.37187,0.45645,0.82828,0.00139599,0.00139599,0.00139599
4,28.6282,0.46864,0.53411,0.85791,0.9977,1,0.99465,0.92452,0.38867,0.42186,0.81424,0.00138656,0.00138656,0.00138656
5,35.0558,0.48531,0.50489,0.84916,0.99666,1,0.99463,0.9594,0.36196,0.45797,0.80775,0.00137241,0.00137241,0.00137241
6,41.5812,0.44105,0.47254,0.84292,0.99714,1,0.99461,0.9544,0.32509,0.37333,0.80915,0.00135826,0.00135826,0.00135826
7,48.7118,0.40437,0.45053,0.83611,0.9978,1,0.9947,0.9497,0.35431,0.37471,0.81009,0.00134412,0.00134412,0.00134412
8,59.8558,0.38983,0.43117,0.82995,0.99802,1,0.99449,0.96822,0.29105,0.35677,0.79621,0.00132997,0.00132997,0.00132997
9,80.25,0.38431,0.4207,0.82686,0.99816,1,0.99458,0.94342,0.31732,0.37527,0.80651,0.00131582,0.00131582,0.00131582
10,99.8219,0.37524,0.41174,0.83106,0.9981,1,0.99486,0.97907,0.27444,0.34688,0.79382,0.00130168,0.00130168,0.00130168
11,107.769,0.36694,0.39368,0.82619,0.99809,1,0.99498,0.97317,0.2623,0.31933,0.79977,0.00128753,0.00128753,0.00128753
12,114.658,0.35288,0.37636,0.82658,0.99756,1,0.99499,0.98549,0.23948,0.32035,0.79204,0.00127338,0.00127338,0.00127338
13,121.267,0.35029,0.36309,0.82157,0.99791,1,0.995,0.98799,0.2412,0.29469,0.79249,0.00125923,0.00125923,0.00125923
14,128.015,0.32775,0.34384,0.81959,0.99816,1,0.995,0.98835,0.23235,0.27516,0.79041,0.00124509,0.00124509,0.00124509
15,134.677,0.33305,0.33794,0.82166,0.99823,1,0.99498,0.97799,0.25444,0.28044,0.79192,0.00123094,0.00123094,0.00123094
16,141.251,0.33693,0.33607,0.82052,0.99782,1,0.99499,0.98544,0.25954,0.27766,0.79728,0.00121679,0.00121679,0.00121679
17,147.887,0.35588,0.33856,0.82389,0.99806,1,0.99481,0.98542,0.24021,0.24717,0.7892,0.00120265,0.00120265,0.00120265
18,154.649,0.35374,0.32547,0.8216,0.99766,1,0.99499,0.96798,0.30516,0.27924,0.7991,0.0011885,0.0011885,0.0011885
19,165.615,0.33886,0.31657,0.82076,0.99808,1,0.995,0.98807,0.25404,0.2657,0.78926,0.00117435,0.00117435,0.00117435
20,172.151,0.32986,0.31122,0.81833,0.99778,1,0.99442,0.9882,0.22696,0.25426,0.78763,0.00116021,0.00116021,0.00116021
21,178.594,0.31504,0.30437,0.81442,0.99814,1,0.995,0.9878,0.24067,0.26506,0.78779,0.00114606,0.00114606,0.00114606
22,185.029,0.30642,0.29732,0.81363,0.99817,0.99962,0.995,0.98495,0.24734,0.24458,0.79274,0.00113191,0.00113191,0.00113191
23,191.797,0.30608,0.29723,0.81324,0.99819,1,0.995,0.98677,0.23511,0.25069,0.7857,0.00111776,0.00111776,0.00111776
24,198.563,0.31196,0.29344,0.81082,0.99778,0.99893,0.995,0.99061,0.21745,0.23789,0.78331,0.00110362,0.00110362,0.00110362
25,205.409,0.31001,0.29186,0.81811,0.99812,1,0.99497,0.98944,0.22513,0.23934,0.78234,0.00108947,0.00108947,0.00108947
26,212.162,0.31,0.28898,0.81822,0.99811,1,0.995,0.98655,0.23676,0.24406,0.78319,0.00107532,0.00107532,0.00107532
27,219.432,0.30317,0.28732,0.81512,0.99818,1,0.995,0.99042,0.22667,0.24781,0.78153,0.00106118,0.00106118,0.00106118
28,226.11,0.28732,0.2722,0.81171,0.99822,1,0.99496,0.98952,0.21061,0.24332,0.77992,0.00104703,0.00104703,0.00104703
29,232.774,0.28568,0.27351,0.81392,0.9974,1,0.99498,0.98423,0.24306,0.23496,0.78498,0.00103288,0.00103288,0.00103288
30,239.39,0.31438,0.28616,0.82109,0.99828,1,0.995,0.98758,0.23345,0.23805,0.78686,0.00101873,0.00101873,0.00101873
31,245.927,0.28464,0.2673,0.81232,0.99829,1,0.995,0.99135,0.19968,0.22162,0.78324,0.00100459,0.00100459,0.00100459
32,252.528,0.27504,0.26505,0.8106,0.99807,1,0.995,0.98427,0.22482,0.21755,0.7827,0.00099044,0.00099044,0.00099044
