epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,657.094,0.22809,0.21178,0.81515,0.99891,0.99996,0.995,0.99318,0.15372,0.13648,0.73727,0.000820675,0.000820675,0.000820675
45,666.947,0.22838,0.2055,0.81881,0.99811,1,0.995,0.99268,0.16562,0.14271,0.74046,0.000806528,0.000806528,0.000806528
46,676.606,0.22757,0.20269,0.81813,0.9987,1,0.995,0.9933,0.15889,0.13441,0.73795,0.00079238,0.00079238,0.00079238
47,686.274,0.22356,0.19787,0.81674,0.99862,1,0.995,0.99264,0.15461,0.1391,0.73792,0.000778233,0.000778233,0.000778233
48,696.151,0.22466,0.19958,0.8154,0.99867,1,0.995,0.9934,0.17639,0.14141,0.73923,0.000764086,0.000764086,0.000764086
49,705.935,0.22713,0.19993,0.81242,0.99914,1,0.995,0.99385,0.14949,0.12421,0.73694,0.000749939,0.000749939,0.000749939
50,715.784,0.22372,0.19221,0.81813,0.99924,1,0.995,0.99284,0.16666,0.1347,0.74028,0.000735792,0.000735792,0.000735792
51,725.812,0.21464,0.19056,0.81582,0.99913,1,0.995,0.99311,0.15027,0.11929,0.73693,0.000721645,0.000721645,0.000721645
52,736.107,0.22545,0.19159,0.81733,0.99842,1,0.995,0.99378,0.1659,0.13305,0.73902,0.000707498,0.000707498,0.000707498
53,746.523,0.21463,0.18506,0.81024,0.99825,1,0.995,0.99376,0.15958,0.12801,0.73812,0.000693351,0.000693351,0.000693351
54,757.488,0.21978,0.18923,0.81585,0.99801,1,0.995,0.99277,0.163,0.12752,0.73796,0.000679204,0.000679204,0.000679204
55,768.562,0.219,0.18786,0.82047,0.99822,1,0.995,0.99328,0.14235,0.11749,0.73554,0.000665057,0.000665057,0.000665057
56,779.773,0.21622,0.18527,0.81817,0.99866,1,0.995,0.99313,0.14847,0.12556,0.73732,0.000650909,0.000650909,0.000650909
57,789.87,0.22267,0.18647,0.81709,0.99832,1,0.995,0.99115,0.16803,0.12528,0.73931,0.000636762,0.000636762,0.000636762
58,799.845,0.21366,0.18431,0.81423,0.99867,1,0.995,0.99333,0.14949,0.12468,0.73615,0.000622615,0.000622615,0.000622615
59,810.194,0.21958,0.18698,0.81681,0.99905,1,0.995,0.99427,0.14851,0.12054,0.73593,0.000608468,0.000608468,0.000608468
60,821.488,0.21422,0.1807,0.80932,0.99909,1,0.995,0.99382,0.15423,0.12235,0.73684,0.000594321,0.000594321,0.000594321
61,832.413,0.21333,0.17969,0.81469,0.99905,1,0.995,0.99325,0.14445,0.1124,0.73551,0.000580174,0.000580174,0.000580174
62,843.068,0.21682,0.18226,0.81687,0.99865,1,0.995,0.99388,0.14772,0.11199,0.73543,0.000566027,0.000566027,0.000566027
63,853.537,0.19927,0.17271,0.81077,0.99876,1,0.995,0.99328,0.14759,0.11243,0.73607,0.00055188,0.00055188,0.00055188
64,864.185,0.20357,0.17415,0.81486,0.99864,1,0.995,0.99357,0.154,0.1127,0.73851,0.000537733,0.000537733,0.000537733
