epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,60.8835,0.55091,0.50698,0.82873,0.98919,0.92254,0.92167,0.84582,0.47958,0.40985,0.83228,0.000848969,0.000848969,0.000848969
43,61.9068,0.54935,0.52411,0.83057,0.98919,0.92254,0.92167,0.84582,0.47958,0.40985,0.83228,0.000834822,0.000834822,0.000834822
44,62.7549,0.54731,0.52576,0.82882,0.98936,0.92074,0.92167,0.85997,0.46039,0.39211,0.82987,0.000820675,0.000820675,0.000820675
45,63.5665,0.57138,0.51937,0.83688,0.98932,0.92369,0.92167,0.87113,0.43244,0.39423,0.83249,0.000806528,0.000806528,0.000806528
46,64.6601,0.54597,0.51568,0.82352,0.98888,0.92535,0.92167,0.87282,0.4867,0.41269,0.84469,0.00079238,0.00079238,0.00079238
47,65.5293,0.5479,0.51235,0.83809,0.98888,0.92535,0.92167,0.87282,0.4867,0.41269,0.84469,0.000778233,0.000778233,0.000778233
48,66.398,0.49806,0.49642,0.8323,0.99078,0.92129,0.92167,0.86204,0.48055,0.40072,0.83626,0.000764086,0.000764086,0.000764086
49,67.2346,0.52751,0.4984,0.83245,0.98738,0.9182,0.92167,0.85111,0.46988,0.39818,0.83385,0.000749939,0.000749939,0.000749939
50,68.0559,0.53733,0.50181,0.83927,0.98745,0.91743,0.92167,0.85685,0.46396,0.40879,0.83591,0.000735792,0.000735792,0.000735792
51,68.8426,0.5176,0.5183,0.84748,0.98745,0.91743,0.92167,0.85685,0.46396,0.40879,0.83591,0.000721645,0.000721645,0.000721645
52,69.6718,0.54576,0.51002,0.82678,0.98663,0.91912,0.92167,0.85769,0.45783,0.40738,0.8374,0.000707498,0.000707498,0.000707498
53,70.4928,0.50556,0.47848,0.81944,0.98559,0.91967,0.92167,0.85608,0.45973,0.39423,0.84112,0.000693351,0.000693351,0.000693351
54,71.3578,0.5034,0.48125,0.81771,0.98411,0.91826,0.92222,0.85727,0.43428,0.38628,0.83312,0.000679204,0.000679204,0.000679204
55,72.2804,0.51321,0.49373,0.83365,0.98411,0.91826,0.92222,0.85727,0.43428,0.38628,0.83312,0.000665057,0.000665057,0.000665057
56,73.1464,0.51286,0.46917,0.82373,0.98044,0.91753,0.92167,0.84453,0.4314,0.3786,0.83151,0.000650909,0.000650909,0.000650909
57,74.1134,0.50332,0.48662,0.81951,0.97784,0.91809,0.92167,0.84551,0.44535,0.39324,0.83389,0.000636762,0.000636762,0.000636762
58,74.9948,0.50026,0.46353,0.81995,0.9777,0.91851,0.92167,0.85091,0.42905,0.38764,0.83105,0.000622615,0.000622615,0.000622615
59,75.833,0.48856,0.46687,0.82213,0.9777,0.91851,0.92167,0.85091,0.42905,0.38764,0.83105,0.000608468,0.000608468,0.000608468
60,76.684,0.50597,0.46033,0.82777,0.97586,0.9176,0.92167,0.86586,0.42971,0.38523,0.8329,0.000594321,0.000594321,0.000594321
61,77.5457,0.48858,0.46759,0.82757,0.97744,0.91421,0.92167,0.86281,0.43947,0.37364,0.83178,0.000580174,0.000580174,0.000580174
62,78.4071,0.48704,0.46291,0.82404,0.98261,0.91829,0.92167,0.85206,0.43963,0.37555,0.83568,0.000566027,0.000566027,0.000566027
63,79.2271,0.48162,0.46893,0.8256,0.98261,0.91829,0.92167,0.85206,0.43963,0.37555,0.83568,0.00055188,0.00055188,0.00055188
64,80.0737,0.51548,0.47633,0.81943,0.98479,0.92224,0.92167,0.84814,0.42826,0.3798,0.83291,0.000537733,0.000537733,0.000537733
65,80.9126,0.463,0.45009,0.81938,0.98317,0.92535,0.92167,0.85304,0.44974,0.36781,0.83477,0.000523586,0.000523586,0.000523586
66,81.8341,0.46344,0.44788,0.81516,0.98206,0.92535,0.92167,0.8528,0.44203,0.35586,0.83276,0.000509438,0.000509438,0.000509438
67,82.665,0.5035,0.4672,0.81141,0.98206,0.92535,0.92167,0.8528,0.44203,0.35586,0.83276,0.000495291,0.000495291,0.000495291
68,83.5152,0.48784,0.46459,0.82742,0.98204,0.92117,0.92167,0.86893,0.44571,0.36518,0.83361,0.000481144,0.000481144,0.000481144
69,84.378,0.48686,0.4526,0.82433,0.98026,0.91793,0.92167,0.84972,0.44677,0.37481,0.83399,0.000466997,0.000466997,0.000466997
70,85.2287,0.49892,0.47332,0.84357,0.97091,0.92307,0.92167,0.84678,0.43837,0.37763,0.8315,0.00045285,0.00045285,0.00045285
71,86.0278,0.46668,0.45606,0.83054,0.97091,0.92307,0.92167,0.84678,0.43837,0.37763,0.8315,0.000438703,0.000438703,0.000438703
72,86.8569,0.49105,0.45688,0.81822,0.98525,0.91024,0.92167,0.85652,0.43731,0.37587,0.83166,0.000424556,0.000424556,0.000424556
73,87.684,0.46286,0.44234,0.81837,0.98479,0.91061,0.92167,0.85756,0.4034,0.36596,0.82579,0.000410409,0.000410409,0.000410409
74,88.5304,0.45379,0.44337,0.81481,0.98333,0.91783,0.92167,0.86568,0.40474,0.36845,0.82505,0.000396262,0.000396262,0.000396262
75,89.3454,0.47117,0.44436,0.81739,0.98333,0.91783,0.92167,0.86568,0.40474,0.36845,0.82505,0.000382115,0.000382115,0.000382115
76,90.1724,0.47408,0.44445,0.81244,0.98632,0.91815,0.92167,0.8722,0.41572,0.36525,0.82576,0.000367967,0.000367967,0.000367967
77,91.0854,0.45859,0.43621,0.82012,0.98795,0.91696,0.92167,0.86941,0.41491,0.35273,0.82644,0.00035382,0.00035382,0.00035382
78,91.9465,0.45578,0.44118,0.82111,0.99069,0.91211,0.92167,0.86656,0.43214,0.35667,0.82809,0.000339673,0.000339673,0.000339673
79,92.7628,0.44874,0.43819,0.81555,0.99069,0.91211,0.92167,0.86656,0.43214,0.35667,0.82809,0.000325526,0.000325526,0.000325526
80,93.6394,0.4579,0.42104,0.81438,0.99003,0.91126,0.92167,0.86201,0.43151,0.35644,0.8283,0.000311379,0.000311379,0.000311379
81,94.4865,0.44554,0.42639,0.8094,0.98797,0.91139,0.92167,0.87129,0.42939,0.34735,0.82832,0.000297232,0.000297232,0.000297232
