epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8009,1.77518,3.39101,1.66538,0.02831,0.78431,0.07981,0.01163,1.13224,3.45842,1.46844,7.145e-05,7.145e-05,7.145e-05
2,20.0575,1.26967,2.97752,1.25733,0.03753,0.95833,0.40481,0.31469,0.88468,2.90319,1.0024,0.000155634,0.000155634,0.000155634
3,20.9458,0.8591,2.66202,1.00941,0.03962,1,0.64933,0.45317,1.12427,2.7957,1.00147,0.00023812,0.00023812,0.00023812
4,21.8599,0.66769,2.26723,0.932,0.04017,1,0.63618,0.50043,0.76673,2.66934,0.91165,0.000318909,0.000318909,0.000318909
5,22.7908,0.72267,2.03507,0.95385,0.04057,0.95833,0.6478,0.44235,1.07048,2.59099,1.0099,0.000397999,0.000397999,0.000397999
6,23.6973,0.63545,1.69844,0.91564,0.04429,1,0.70717,0.56635,0.72342,2.43013,0.91694,0.000475393,0.000475393,0.000475393
7,24.5803,0.64087,1.58838,0.92543,0.9649,0.35066,0.96911,0.71071,0.96763,2.40129,0.97211,0.000551088,0.000551088,0.000551088
8,25.4239,0.61437,1.20397,0.90676,0.97379,0.25,0.93694,0.77247,0.65291,2.34337,0.88455,0.000625086,0.000625086,0.000625086
9,26.2564,0.66015,1.10266,0.92344,1,0.26317,0.955,0.7905,0.56857,2.29232,0.8579,0.000697386,0.000697386,0.000697386
10,27.1713,0.6275,0.98798,0.9159,0.97156,0.45179,0.93191,0.78997,0.70747,1.97921,0.88093,0.000767989,0.000767989,0.000767989
11,28.0892,0.57837,0.81871,0.92982,0.95302,0.58333,0.92145,0.81399,0.58828,1.49717,0.85626,0.000836894,0.000836894,0.000836894
12,29.02,0.61929,0.76836,0.92371,0.92032,0.85861,0.92059,0.81258,0.65397,1.09663,0.87392,0.000904101,0.000904101,0.000904101
13,29.889,0.59908,0.7435,0.94195,0.89959,0.84569,0.92213,0.76277,0.72298,0.8374,0.9004,0.000969611,0.000969611,0.000969611
14,30.7679,0.63597,0.70426,0.94987,0.93186,0.88398,0.93063,0.80329,0.63434,0.7202,0.90432,0.00103342,0.00103342,0.00103342
15,31.5756,0.63198,0.72594,0.94543,0.93186,0.88398,0.93063,0.80329,0.63434,0.7202,0.90432,0.00109554,0.00109554,0.00109554
16,32.4394,0.59766,0.71657,0.93997,0.94376,0.88457,0.92763,0.81429,0.58492,0.65683,0.88307,0.00115595,0.00115595,0.00115595
17,33.3202,0.62426,0.6886,0.95321,0.90665,0.83391,0.91167,0.81158,0.61569,0.67515,0.89603,0.00120265,0.00120265,0.00120265
18,34.1638,0.63505,0.71487,0.94205,0.92857,0.88298,0.91626,0.80749,0.51151,0.61592,0.87475,0.0011885,0.0011885,0.0011885
19,34.9837,0.57068,0.68525,0.92722,0.92857,0.88298,0.91626,0.80749,0.51151,0.61592,0.87475,0.00117435,0.00117435,0.00117435
20,35.8193,0.61367,0.64528,0.91423,0.969,0.94819,0.96025,0.78851,0.64263,0.69413,0.89752,0.00116021,0.00116021,0.00116021
21,36.6545,0.59748,0.6389,0.90287,0.96701,0.91667,0.9238,0.83885,0.51203,0.65795,0.86223,0.00114606,0.00114606,0.00114606
22,37.4803,0.53738,0.60341,0.89263,0.97625,0.91667,0.91167,0.84047,0.52634,0.73233,0.86345,0.00113191,0.00113191,0.00113191
23,38.284,0.66053,0.63171,0.92161,0.97625,0.91667,0.91167,0.84047,0.52634,0.73233,0.86345,0.00111776,0.00111776,0.00111776
24,39.0955,0.61816,0.63068,0.93241,0.99085,0.93486,0.955,0.85717,0.48697,0.84792,0.85161,0.00110362,0.00110362,0.00110362
25,39.9171,0.58605,0.59324,0.91536,0.96387,0.94483,0.97962,0.84032,0.50238,0.98044,0.86965,0.00108947,0.00108947,0.00108947
26,40.7431,0.54507,0.61165,0.89224,0.91471,0.90752,0.93322,0.82063,0.51987,0.83456,0.87698,0.00107532,0.00107532,0.00107532
27,41.5633,0.52881,0.59612,0.90068,0.91471,0.90752,0.93322,0.82063,0.51987,0.83456,0.87698,0.00106118,0.00106118,0.00106118
28,42.3901,0.50107,0.55757,0.8867,0.91322,0.90961,0.91167,0.81014,0.43453,0.64189,0.83547,0.00104703,0.00104703,0.00104703
29,43.2151,0.49117,0.62025,0.89171,0.97829,0.91667,0.91167,0.83777,0.44904,0.53044,0.84622,0.00103288,0.00103288,0.00103288
30,44.028,0.51083,0.56216,0.88883,0.99344,0.91667,0.93063,0.84977,0.43076,0.48958,0.84641,0.00101873,0.00101873,0.00101873
31,44.8712,0.4566,0.5266,0.87529,0.99344,0.91667,0.93063,0.84977,0.43076,0.48958,0.84641,0.00100459,0.00100459,0.00100459
32,45.6745,0.49042,0.55664,0.87309,0.99078,0.91667,0.91594,0.8609,0.40583,0.46296,0.83068,0.00099044,0.00099044,0.00099044
33,46.4909,0.47895,0.53348,0.88143,0.99252,0.91667,0.91648,0.84486,0.44252,0.44511,0.83731,0.000976293,0.000976293,0.000976293
34,47.3309,0.4894,0.58256,0.87877,0.9923,0.91667,0.91167,0.84766,0.39536,0.43467,0.82885,0.000962146,0.000962146,0.000962146
35,48.1012,0.44366,0.48849,0.85765,0.9923,0.91667,0.91167,0.84766,0.39536,0.43467,0.82885,0.000947999,0.000947999,0.000947999
36,48.9156,0.46035,0.51338,0.87912,0.99228,0.91667,0.91167,0.82552,0.43299,0.45372,0.84347,0.000933851,0.000933851,0.000933851
37,49.7192,0.48606,0.54547,0.88398,0.99255,0.91667,0.91167,0.83241,0.42363,0.46397,0.83091,0.000919704,0.000919704,0.000919704
38,50.5393,0.4876,0.55985,0.86732,0.99369,0.91667,0.91167,0.8788,0.43961,0.4479,0.82958,0.000905557,0.000905557,0.000905557
39,51.3921,0.5145,0.54509,0.89212,0.99369,0.91667,0.91167,0.8788,0.43961,0.4479,0.82958,0.00089141,0.00089141,0.00089141
40,52.2222,0.46524,0.52295,0.87665,0.99346,0.91667,0.91167,0.87964,0.35991,0.41963,0.81345,0.000877263,0.000877263,0.000877263
41,53.107,0.44835,0.48919,0.86117,0.99204,0.91667,0.92033,0.86919,0.43678,0.41427,0.83482,0.000863116,0.000863116,0.000863116
