epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0449,0.77665,1.64393,1.01005,0.99486,0.9978,0.995,0.88051,0.42308,0.60723,0.82508,0.000471522,0.000471522,0.000471522
2,22.1387,0.52017,0.64194,0.89215,0.99735,1,0.99499,0.91872,0.38069,0.45333,0.805,0.000938471,0.000938471,0.000938471
3,30.9771,0.48768,0.56273,0.88707,0.99701,1,0.995,0.92885,0.35221,0.50686,0.80615,0.00139599,0.00139599,0.00139599
4,39.7268,0.44914,0.52223,0.87589,0.99819,1,0.995,0.93654,0.36155,0.45158,0.80971,0.00138656,0.00138656,0.00138656
5,48.3878,0.41354,0.46787,0.85641,0.99795,1,0.99468,0.95626,0.35298,0.41138,0.81243,0.00137241,0.00137241,0.00137241
6,57.8763,0.38905,0.44621,0.85667,0.99757,1,0.99477,0.96328,0.30427,0.35223,0.79926,0.00135826,0.00135826,0.00135826
7,66.8981,0.38777,0.42211,0.85379,0.99807,1,0.99491,0.97875,0.27063,0.33892,0.79614,0.00134412,0.00134412,0.00134412
8,75.4368,0.35232,0.39776,0.84022,0.99801,1,0.99496,0.96165,0.281,0.32969,0.78999,0.00132997,0.00132997,0.00132997
9,84.1773,0.33754,0.37922,0.83778,0.99818,1,0.995,0.97707,0.28147,0.30616,0.79197,0.00131582,0.00131582,0.00131582
10,92.9491,0.33392,0.36541,0.84338,0.99802,1,0.99486,0.97326,0.26457,0.27117,0.78828,0.00130168,0.00130168,0.00130168
11,101.623,0.31795,0.34716,0.83913,0.99804,1,0.995,0.98957,0.23532,0.28094,0.78371,0.00128753,0.00128753,0.00128753
12,110.752,0.30211,0.33572,0.83474,0.99784,1,0.99493,0.988,0.21054,0.26113,0.78101,0.00127338,0.00127338,0.00127338
13,119.753,0.30799,0.33113,0.83262,0.99795,1,0.995,0.9826,0.21457,0.24632,0.77711,0.00125923,0.00125923,0.00125923
14,128.822,0.29831,0.32143,0.82872,0.99819,1,0.995,0.98518,0.20115,0.21642,0.77552,0.00124509,0.00124509,0.00124509
15,137.547,0.30342,0.30916,0.83418,0.99795,1,0.995,0.97771,0.27031,0.24759,0.78719,0.00123094,0.00123094,0.00123094
16,145.834,0.31448,0.31335,0.83499,0.99792,1,0.9949,0.97902,0.22851,0.22032,0.78418,0.00121679,0.00121679,0.00121679
